"","西元年","區域名","土地面積","里數","鄰數","戶數","人口數","男","女","戶量(人/戶)","人口密度","性別比(男/女)","年月","地區"
"1","2000"," 嘉義縣","1901.6725","357","5266","155269","562305","296936","265369","3.62","295.69","111.90","89.12","嘉義縣"
"2","2000"," 太保市","66.8964","18","233","8330","32854","17234","15620","3.94","491.12","110.33","89.12","嘉義縣"
"3","2000"," 朴子市","49.5737","27","396","12088","44107","22860","21247","3.65","889.73","107.59","89.12","嘉義縣"
"4","2000"," 布袋鎮","59.7690","23","371","9355","33351","17487","15864","3.56","558.00","110.23","89.12","嘉義縣"
"5","2000"," 大林鎮","64.1663","21","317","10552","36205","18845","17360","3.43","564.24","108.55","89.12","嘉義縣"
"6","2000"," 民雄鄉","85.4969","28","489","19057","70625","36599","34026","3.71","826.05","107.56","89.12","嘉義縣"
"7","2000"," 溪口鄉","33.0463","14","205","4946","17929","9576","8353","3.62","542.54","114.64","89.12","嘉義縣"
"8","2000"," 新港鄉","66.0495","23","380","9479","36221","19369","16852","3.82","548.39","114.94","89.12","嘉義縣"
"9","2000"," 六腳鄉","62.2599","25","328","8422","29152","15577","13575","3.46","468.23","114.75","89.12","嘉義縣"
"10","2000"," 東石鄉","81.5816","23","351","8488","29957","16098","13859","3.53","367.20","116.16","89.12","嘉義縣"
"11","2000"," 義竹鄉","79.2925","22","311","6986","23306","12223","11083","3.34","293.92","110.29","89.12","嘉義縣"
"12","2000"," 鹿草鄉","54.3151","15","255","5323","18260","9837","8423","3.43","336.19","116.79","89.12","嘉義縣"
"13","2000"," 水上鄉","69.1198","26","409","16238","55395","29166","26229","3.41","801.43","111.20","89.12","嘉義縣"
"14","2000"," 中埔鄉","129.5016","22","375","13008","48435","25474","22961","3.72","374.01","110.94","89.12","嘉義縣"
"15","2000"," 竹崎鄉","162.2256","24","407","10312","41288","22098","19190","4.00","254.51","115.15","89.12","嘉義縣"
"16","2000"," 梅山鄉","119.7571","18","200","5829","23433","12545","10888","4.02","195.67","115.22","89.12","嘉義縣"
"17","2000"," 番路鄉","117.5269","11","112","3531","12085","6610","5475","3.42","102.83","120.73","89.12","嘉義縣"
"18","2000"," 大埔鄉","173.2472","5","49","1434","3547","1982","1565","2.47","20.47","126.65","89.12","嘉義縣"
"19","2000"," 阿里山鄉","427.8471","12","78","1891","6155","3356","2799","3.25","14.39","119.90","89.12","嘉義縣"
"20","2001"," 嘉義縣","1901.6725","357","5285","157448","563365","297069","266296","3.58","296.25","111.56","90.12","嘉義縣"
"21","2001"," 太保市","66.8964","18","240","8638","33302","17470","15832","3.86","497.81","110.35","90.12","嘉義縣"
"22","2001"," 朴子市","49.5737","27","402","12295","44296","22877","21419","3.60","893.54","106.81","90.12","嘉義縣"
"23","2001"," 布袋鎮","59.7690","23","375","9484","33414","17487","15927","3.52","559.05","109.79","90.12","嘉義縣"
"24","2001"," 大林鎮","64.1663","21","317","10650","36144","18809","17335","3.39","563.29","108.50","90.12","嘉義縣"
"25","2001"," 民雄鄉","85.4969","28","489","19383","71034","36780","34254","3.66","830.84","107.37","90.12","嘉義縣"
"26","2001"," 溪口鄉","33.0463","14","205","4959","17782","9477","8305","3.59","538.09","114.11","90.12","嘉義縣"
"27","2001"," 新港鄉","66.0495","23","380","9505","36065","19203","16862","3.79","546.03","113.88","90.12","嘉義縣"
"28","2001"," 六腳鄉","62.2599","25","328","8523","28879","15441","13438","3.39","463.85","114.91","90.12","嘉義縣"
"29","2001"," 東石鄉","81.5816","23","353","8573","30118","16114","14004","3.51","369.18","115.07","90.12","嘉義縣"
"30","2001"," 義竹鄉","79.2925","22","311","7139","23827","12431","11396","3.34","300.50","109.08","90.12","嘉義縣"
"31","2001"," 鹿草鄉","54.3151","15","255","5357","18159","9801","8358","3.39","334.33","117.26","90.12","嘉義縣"
"32","2001"," 水上鄉","69.1198","26","409","16426","55411","29152","26259","3.37","801.67","111.02","90.12","嘉義縣"
"33","2001"," 中埔鄉","129.5016","22","375","13153","48301","25397","22904","3.67","372.98","110.88","90.12","嘉義縣"
"34","2001"," 竹崎鄉","162.2256","24","407","10443","41189","22042","19147","3.94","253.90","115.12","90.12","嘉義縣"
"35","2001"," 梅山鄉","119.7571","18","200","5925","23453","12519","10934","3.96","195.84","114.50","90.12","嘉義縣"
"36","2001"," 番路鄉","117.5269","11","112","3582","12054","6612","5442","3.37","102.56","121.50","90.12","嘉義縣"
"37","2001"," 大埔鄉","173.2472","5","49","1516","3815","2119","1696","2.52","22.02","124.94","90.12","嘉義縣"
"38","2001"," 阿里山鄉","427.8471","12","78","1897","6122","3338","2784","3.23","14.31","119.90","90.12","嘉義縣"
"39","2002"," 嘉義縣","1901.6725","357","5293","158808","562394","296380","266014","3.54","295.74","111.42","91.12","嘉義縣"
"40","2002"," 太保市","66.8964","18","240","8917","33732","17694","16038","3.78","504.24","110.33","91.12","嘉義縣"
"41","2002"," 朴子市","49.5737","27","402","12406","44158","22808","21350","3.56","890.75","106.83","91.12","嘉義縣"
"42","2002"," 布袋鎮","59.7690","23","376","9559","33160","17320","15840","3.47","554.80","109.34","91.12","嘉義縣"
"43","2002"," 大林鎮","64.1663","21","317","10722","35985","18730","17255","3.36","560.81","108.55","91.12","嘉義縣"
"44","2002"," 民雄鄉","85.4969","28","496","19778","71605","37070","34535","3.62","837.52","107.34","91.12","嘉義縣"
"45","2002"," 溪口鄉","33.0463","14","205","4944","17652","9427","8225","3.57","534.16","114.61","91.12","嘉義縣"
"46","2002"," 新港鄉","66.0495","23","380","9544","36110","19230","16880","3.78","546.71","113.92","91.12","嘉義縣"
"47","2002"," 六腳鄉","62.2599","25","328","8563","28582","15258","13324","3.34","459.08","114.52","91.12","嘉義縣"
"48","2002"," 東石鄉","81.5816","23","353","8547","29855","15978","13877","3.49","365.95","115.14","91.12","嘉義縣"
"49","2002"," 義竹鄉","79.2925","22","311","7010","22934","11997","10937","3.27","289.23","109.69","91.12","嘉義縣"
"50","2002"," 鹿草鄉","54.3151","15","255","5313","18052","9694","8358","3.40","332.36","115.98","91.12","嘉義縣"
"51","2002"," 水上鄉","69.1198","26","409","16673","55724","29154","26570","3.34","806.19","109.73","91.12","嘉義縣"
"52","2002"," 中埔鄉","129.5016","22","375","13336","48452","25511","22941","3.63","374.14","111.20","91.12","嘉義縣"
"53","2002"," 竹崎鄉","162.2256","24","407","10577","41210","22041","19169","3.90","254.03","114.98","91.12","嘉義縣"
"54","2002"," 梅山鄉","119.7571","18","200","5973","23249","12414","10835","3.89","194.13","114.57","91.12","嘉義縣"
"55","2002"," 番路鄉","117.5269","11","112","3593","12095","6640","5455","3.37","102.91","121.72","91.12","嘉義縣"
"56","2002"," 大埔鄉","173.2472","5","49","1450","3644","2039","1605","2.51","21.03","127.04","91.12","嘉義縣"
"57","2002"," 阿里山鄉","427.8471","12","78","1903","6195","3375","2820","3.26","14.48","119.68","91.12","嘉義縣"
"58","2003"," 嘉義縣","1901.6725","357","5299","160342","560410","295343","265067","3.50","294.69","111.42","92.12","嘉義縣"
"59","2003"," 太保市","66.8964","18","245","9220","34330","18005","16325","3.72","513.18","110.29","92.12","嘉義縣"
