"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"1","臺南市","2191.6531","752","14636","678158","2.78111148139519","1886033","943082","942951","100.013892556453","860.552703345251","105.12"
"2","新營區","38.5386","29","636","28879","2.70442189826518","78101","38611","39490","97.7741200303874","2026.5655732175","105.12"
"3","鹽水區","52.2455","25","324","10086","2.5650406504065","25871","13515","12356","109.380058271285","495.181403183049","105.12"
"4","白河區","126.4046","24","291","10836","2.65956072351421","28819","15047","13772","109.257914609352","227.990120612699","105.12"
"5","柳營區","61.2929","13","261","7873","2.73339260764639","21520","11245","10275","109.440389294404","351.101024751643","105.12"
"6","後壁區","72.2189","21","267","8881","2.70982997410202","24066","12516","11550","108.363636363636","333.236867357437","105.12"
"7","東山區","124.9178","16","310","8453","2.52218147403289","21320","11310","10010","112.987012987013","170.672234061119","105.12"
"8","麻豆區","53.9744","29","392","15716","2.85136166963604","44812","22741","22071","103.03565765031","830.24544969467","105.12"
"9","下營區","33.5291","15","271","9115","2.68875479978058","24508","12639","11869","106.487488415199","730.9471474033","105.12"
"10","六甲區","67.5471","12","231","7711","2.90571910258073","22406","11577","10829","106.90737833595","331.709281375514","105.12"
"11","官田區","70.7953","13","256","7880","2.73286802030457","21535","10995","10540","104.316888045541","304.186859862166","105.12"
"12","大內區","70.3125","10","145","3895","2.55763799743261","9962","5329","4633","115.022663500971","141.681777777778","105.12"
"13","佳里區","38.9422","21","409","20546","2.89389662221357","59458","29497","29961","98.4513200493976","1526.82693838561","105.12"
"14","學甲區","53.9919","13","323","9662","2.72997309045746","26377","13495","12882","104.758577860581","488.536243399473","105.12"
"15","西港區","33.7666","12","241","8155","3.04966278356836","24870","12601","12269","102.706007009536","736.526626903508","105.12"
"16","七股區","110.1492","23","312","8053","2.87743698000745","23172","11981","11191","107.059244035386","210.369208310183","105.12"
"17","將軍區","41.9796","18","304","7315","2.74107997265892","20051","10210","9841","103.749618941165","477.636756900971","105.12"
"18","北門區","44.1003","13","206","4279","2.64851600841318","11333","5754","5579","103.136762860728","256.982378804679","105.12"
"19","新化區","62.0579","20","253","14354","3.04632854953323","43727","22291","21436","103.988617279343","704.616172961057","105.12"
"20","善化區","55.3097","21","350","17254","2.76225802712415","47660","24016","23644","101.573337844696","861.693337696643","105.12"
"21","新市區","47.8096","11","262","12034","3.01379424962606","36268","18212","18056","100.863978732831","758.59241658579","105.12"
"22","安定區","31.27","16","255","9979","3.0511073253833","30447","15634","14813","105.542428947546","973.680844259674","105.12"
"23","山上區","27.878","7","84","2690","2.73568773234201","7359","3862","3497","110.437517872462","263.971590501471","105.12"
"24","玉井區","76.3662","10","175","5134","2.7816517335411","14281","7397","6884","107.452062754213","187.006817152091","105.12"
"25","楠西區","109.6316","7","123","3533","2.80158505519389","9898","5241","4657","112.540261971226","90.2841881355376","105.12"
"26","南化區","171.5198","9","113","2872","3.07729805013928","8838","4779","4059","117.738359201774","51.5275787401804","105.12"
"27","左鎮區","74.9025","10","110","1982","2.51261352169526","4980","2794","2186","127.813357731016","66.4864323620707","105.12"
"28","仁德區","50.7664","18","491","27270","2.73696369636964","74637","37875","36762","103.027582830096","1470.2047023228","105.12"
"29","歸仁區","55.7913","21","630","22518","3.02735589306333","68170","34658","33512","103.419670565767","1221.87509522094","105.12"
"30","關廟區","53.6413","17","280","11064","3.12734996384671","34601","17846","16755","106.511489107729","645.044023914409","105.12"
"31","龍崎區","64.0814","8","95","1551","2.64796905222437","4107","2199","1908","115.251572327044","64.0903600732818","105.12"
"32","永康區","40.2753","39","1268","82867","2.80220111745327","232210","114638","117572","97.5045078760249","5765.56847497101","105.12"
"33","東區","13.4156","45","1238","71835","2.61479780051507","187834","90167","97667","92.320845321347","14001.1628253675","105.12"
"34","南區","27.2681","39","832","45345","2.77358032859191","125768","62396","63372","98.4598876475415","4612.27588280812","105.12"
"35","北區","10.434","43","850","50561","2.63228575384189","133091","64838","68253","94.9965569279006","12755.5108299789","105.12"
"36","安南區","107.2016","51","943","62086","3.07953483877203","191196","96479","94717","101.860278513889","1783.51815644543","105.12"
