"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"1"," 嘉義縣","357","5266","155269","562305","296936","265369","89.12","嘉義縣"
"2"," 太保市","18","233","8330","32854","17234","15620","89.12","嘉義縣"
"3"," 朴子市","27","396","12088","44107","22860","21247","89.12","嘉義縣"
"4"," 布袋鎮","23","371","9355","33351","17487","15864","89.12","嘉義縣"
"5"," 大林鎮","21","317","10552","36205","18845","17360","89.12","嘉義縣"
"6"," 民雄鄉","28","489","19057","70625","36599","34026","89.12","嘉義縣"
"7"," 溪口鄉","14","205","4946","17929","9576","8353","89.12","嘉義縣"
"8"," 新港鄉","23","380","9479","36221","19369","16852","89.12","嘉義縣"
"9"," 六腳鄉","25","328","8422","29152","15577","13575","89.12","嘉義縣"
"10"," 東石鄉","23","351","8488","29957","16098","13859","89.12","嘉義縣"
"11"," 義竹鄉","22","311","6986","23306","12223","11083","89.12","嘉義縣"
"12"," 鹿草鄉","15","255","5323","18260","9837","8423","89.12","嘉義縣"
"13"," 水上鄉","26","409","16238","55395","29166","26229","89.12","嘉義縣"
"14"," 中埔鄉","22","375","13008","48435","25474","22961","89.12","嘉義縣"
"15"," 竹崎鄉","24","407","10312","41288","22098","19190","89.12","嘉義縣"
"16"," 梅山鄉","18","200","5829","23433","12545","10888","89.12","嘉義縣"
"17"," 番路鄉","11","112","3531","12085","6610","5475","89.12","嘉義縣"
"18"," 大埔鄉","5","49","1434","3547","1982","1565","89.12","嘉義縣"
"19"," 阿里山鄉","12","78","1891","6155","3356","2799","89.12","嘉義縣"
"20"," 嘉義縣","357","5285","157448","563365","297069","266296","90.12","嘉義縣"
"21"," 太保市","18","240","8638","33302","17470","15832","90.12","嘉義縣"
"22"," 朴子市","27","402","12295","44296","22877","21419","90.12","嘉義縣"
"23"," 布袋鎮","23","375","9484","33414","17487","15927","90.12","嘉義縣"
"24"," 大林鎮","21","317","10650","36144","18809","17335","90.12","嘉義縣"
"25"," 民雄鄉","28","489","19383","71034","36780","34254","90.12","嘉義縣"
"26"," 溪口鄉","14","205","4959","17782","9477","8305","90.12","嘉義縣"
"27"," 新港鄉","23","380","9505","36065","19203","16862","90.12","嘉義縣"
"28"," 六腳鄉","25","328","8523","28879","15441","13438","90.12","嘉義縣"
"29"," 東石鄉","23","353","8573","30118","16114","14004","90.12","嘉義縣"
"30"," 義竹鄉","22","311","7139","23827","12431","11396","90.12","嘉義縣"
"31"," 鹿草鄉","15","255","5357","18159","9801","8358","90.12","嘉義縣"
"32"," 水上鄉","26","409","16426","55411","29152","26259","90.12","嘉義縣"
"33"," 中埔鄉","22","375","13153","48301","25397","22904","90.12","嘉義縣"
"34"," 竹崎鄉","24","407","10443","41189","22042","19147","90.12","嘉義縣"
"35"," 梅山鄉","18","200","5925","23453","12519","10934","90.12","嘉義縣"
"36"," 番路鄉","11","112","3582","12054","6612","5442","90.12","嘉義縣"
"37"," 大埔鄉","5","49","1516","3815","2119","1696","90.12","嘉義縣"
"38"," 阿里山鄉","12","78","1897","6122","3338","2784","90.12","嘉義縣"
"39"," 嘉義縣","357","5293","158808","562394","296380","266014","91.12","嘉義縣"
"40"," 太保市","18","240","8917","33732","17694","16038","91.12","嘉義縣"
"41"," 朴子市","27","402","12406","44158","22808","21350","91.12","嘉義縣"
"42"," 布袋鎮","23","376","9559","33160","17320","15840","91.12","嘉義縣"
"43"," 大林鎮","21","317","10722","35985","18730","17255","91.12","嘉義縣"
"44"," 民雄鄉","28","496","19778","71605","37070","34535","91.12","嘉義縣"
"45"," 溪口鄉","14","205","4944","17652","9427","8225","91.12","嘉義縣"
"46"," 新港鄉","23","380","9544","36110","19230","16880","91.12","嘉義縣"
"47"," 六腳鄉","25","328","8563","28582","15258","13324","91.12","嘉義縣"
