"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"1","高雄市","893","17785","1023188","2773433","1390604","1382829","100.1","高雄市"
"2","鹽埕區","21","237","11162","27371","13716","13655","100.1","高雄市"
"3","鼓山區","38","722","52305","131730","64571","67159","100.1","高雄市"
"4","左營區","40","747","73916","192040","94472","97568","100.1","高雄市"
"5","楠梓區","37","803","61951","173132","85862","87270","100.1","高雄市"
"6","三民一","41","670","33363","86567","43284","43283","100.1","高雄市"
"7","三民二","45","1074","98300","267106","129790","137316","100.1","高雄市"
"8","新興區","32","459","22935","55247","26892","28355","100.1","高雄市"
"9","前金區","20","264","12527","28837","14023","14814","100.1","高雄市"
"10","苓雅區","69","1248","71795","183742","89439","94303","100.1","高雄市"
"11","前鎮區","59","1298","76523","199015","98796","100219","100.1","高雄市"
"12","旗津區","13","213","10967","29972","15573","14399","100.1","高雄市"
"13","小港區","38","697","63330","154511","77614","76897","100.1","高雄市"
"14","鳳山一","43","1145","65534","175149","86802","88347","100.1","高雄市"
"15","鳳山二","35","992","61478","166384","83407","82977","100.1","高雄市"
"16","林園區","24","525","24136","70464","36183","34281","100.1","高雄市"
"17","大寮區","25","829","38326","108973","56563","52410","100.1","高雄市"
"18","大樹區","18","376","13054","43938","22729","21209","100.1","高雄市"
"19","大社區","9","175","11715","33008","16948","16060","100.1","高雄市"
"20","仁武區","16","392","26046","72453","37370","35083","100.1","高雄市"
"21","鳥松區","7","192","16553","42716","21700","21016","100.1","高雄市"
"22","岡山區","33","540","33190","97097","48747","48350","100.1","高雄市"
"23","橋頭區","17","359","12614","36473","18706","17767","100.1","高雄市"
"24","燕巢區","11","289","9984","30785","16407","14378","100.1","高雄市"
"25","田寮區","10","154","3551","8194","4553","3641","100.1","高雄市"
"26","阿蓮區","12","276","9154","30374","15326","15048","100.1","高雄市"
"27","路竹區","20","395","16045","53787","27418","26369","100.1","高雄市"
"28","湖內區","14","260","9545","28802","14828","13974","100.1","高雄市"
"29","茄萣區","15","341","10134","31425","16386","15039","100.1","高雄市"
"30","永安區","6","81","5842","14297","7267","7030","100.1","高雄市"
"31","彌陀區","12","227","6625","20427","10637","9790","100.1","高雄市"
"32","梓官區","15","286","12057","36722","19067","17655","100.1","高雄市"
"33","旗山區","21","382","13830","39876","20796","19080","100.1","高雄市"
"34","美濃區","19","389","14172","42931","22427","20504","100.1","高雄市"
"35","六龜區","12","222","5774","14811","8013","6798","100.1","高雄市"
"36","甲仙區","7","103","2512","7222","3881","3341","100.1","高雄市"
"37","杉林區","7","138","4401","11873","6476","5397","100.1","高雄市"
"38","內門區","18","207","5028","15920","8684","7236","100.1","高雄市"
"39","茂林區","3","19","574","1870","941","929","100.1","高雄市"
"40","桃源區","8","39","1357","4812","2555","2257","100.1","高雄市"
"41","那瑪夏區","3","20","883","3380","1755","1625","100.1","高雄市"
"42","高雄市","893","17785","1023848","2772929","1390167","1382762","100.2","高雄市"
"43","鹽埕區","21","237","11155","27353","13715","13638","100.2","高雄市"
"44","鼓山區","38","722","52314","131686","64538","67148","100.2","高雄市"
"45","左營區","40","747","73942","192068","94489","97579","100.2","高雄市"
"46","楠梓區","37","803","61998","173174","85893","87281","100.2","高雄市"
"47","三民一","41","670","33336","86457","43214","43243","100.2","高雄市"
"48","三民二","45","1074","98307","266895","129630","137265","100.2","高雄市"
"49","新興區","32","459","22911","55115","26816","28299","100.2","高雄市"
"50","前金區","20","264","12541","28788","13996","14792","100.2","高雄市"
"51","苓雅區","69","1248","71792","183529","89321","94208","100.2","高雄市"
"52","前鎮區","59","1298","76513","198843","98685","100158","100.2","高雄市"
"53","旗津區","13","213","10976","29959","15574","14385","100.2","高雄市"
"54","小港區","38","697","63391","154533","77631","76902","100.2","高雄市"
"55","鳳山一","43","1145","65610","175259","86834","88425","100.2","高雄市"
"56","鳳山二","35","992","61582","166596","83463","83133","100.2","高雄市"
"57","林園區","24","525","24163","70448","36165","34283","100.2","高雄市"
"58","大寮區","25","829","38382","109011","56599","52412","100.2","高雄市"
"59","大樹區","18","376","13065","43918","22719","21199","100.2","高雄市"
"60","大社區","9","175","11723","33052","16973","16079","100.2","高雄市"
"61","仁武區","16","392","26133","72665","37485","35180","100.2","高雄市"
"62","鳥松區","7","192","16561","42725","21702","21023","100.2","高雄市"
"63","岡山區","33","540","33231","97126","48750","48376","100.2","高雄市"
"64","橋頭區","17","359","12640","36503","18714","17789","100.2","高雄市"
"65","燕巢區","11","289","9991","30787","16414","14373","100.2","高雄市"
"66","田寮區","10","154","3551","8164","4540","3624","100.2","高雄市"
"67","阿蓮區","12","276","9162","30364","15315","15049","100.2","高雄市"
"68","路竹區","20","395","16058","53764","27394","26370","100.2","高雄市"
"69","湖內區","14","260","9570","28780","14821","13959","100.2","高雄市"
"70","茄萣區","15","341","10137","31389","16374","15015","100.2","高雄市"
"71","永安區","6","81","5845","14279","7262","7017","100.2","高雄市"
"72","彌陀區","12","227","6634","20438","10627","9811","100.2","高雄市"
"73","梓官區","15","286","12057","36662","19046","17616","100.2","高雄市"
"74","旗山區","21","382","13848","39878","20797","19081","100.2","高雄市"
"75","美濃區","19","389","14186","42916","22428","20488","100.2","高雄市"
"76","六龜區","12","222","5769","14761","7982","6779","100.2","高雄市"
"77","甲仙區","7","103","2508","7201","3867","3334","100.2","高雄市"
"78","杉林區","7","138","4419","11903","6492","5411","100.2","高雄市"
"79","內門區","18","207","5030","15901","8667","7234","100.2","高雄市"
"80","茂林區","3","19","577","1870","940","930","100.2","高雄市"
"81","桃源區","8","39","1360","4801","2548","2253","100.2","高雄市"
"82","那瑪夏區","3","20","880","3368","1747","1621","100.2","高雄市"
"83","高雄市","893","17785","1025181","2772834","1389882","1382952","100.3","高雄市"
"84","鹽埕區","21","237","11164","27343","13707","13636","100.3","高雄市"
"85","鼓山區","38","722","52386","131768","64574","67194","100.3","高雄市"
"86","左營區","40","747","74030","192216","94544","97672","100.3","高雄市"
"87","楠梓區","37","803","62039","173221","85905","87316","100.3","高雄市"
"88","三民一","41","670","33312","86277","43091","43186","100.3","高雄市"
"89","三民二","45","1074","98439","266820","129612","137208","100.3","高雄市"
"90","新興區","32","459","22895","55017","26747","28270","100.3","高雄市"
"91","前金區","20","264","12540","28719","13963","14756","100.3","高雄市"
"92","苓雅區","69","1248","71848","183244","89184","94060","100.3","高雄市"
"93","前鎮區","59","1298","76610","198726","98620","100106","100.3","高雄市"
"94","旗津區","13","213","10983","29915","15545","14370","100.3","高雄市"
"95","小港區","38","697","63413","154458","77596","76862","100.3","高雄市"
"96","鳳山一","43","1145","65755","175377","86860","88517","100.3","高雄市"
"97","鳳山二","35","992","61765","166873","83582","83291","100.3","高雄市"
"98","林園區","24","525","24162","70430","36135","34295","100.3","高雄市"
"99","大寮區","25","829","38462","109108","56661","52447","100.3","高雄市"
"100","大樹區","18","376","13080","43899","22699","21200","100.3","高雄市"
"101","大社區","9","175","11741","33091","16984","16107","100.3","高雄市"
"102","仁武區","16","392","26241","72962","37605","35357","100.3","高雄市"
