"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"1","臺南市","752","14636","678158","1886033","943082","942951","105.12","臺南市"
"2","新營區","29","636","28879","78101","38611","39490","105.12","臺南市"
"3","鹽水區","25","324","10086","25871","13515","12356","105.12","臺南市"
"4","白河區","24","291","10836","28819","15047","13772","105.12","臺南市"
"5","柳營區","13","261","7873","21520","11245","10275","105.12","臺南市"
"6","後壁區","21","267","8881","24066","12516","11550","105.12","臺南市"
"7","東山區","16","310","8453","21320","11310","10010","105.12","臺南市"
"8","麻豆區","29","392","15716","44812","22741","22071","105.12","臺南市"
"9","下營區","15","271","9115","24508","12639","11869","105.12","臺南市"
"10","六甲區","12","231","7711","22406","11577","10829","105.12","臺南市"
"11","官田區","13","256","7880","21535","10995","10540","105.12","臺南市"
"12","大內區","10","145","3895","9962","5329","4633","105.12","臺南市"
"13","佳里區","21","409","20546","59458","29497","29961","105.12","臺南市"
"14","學甲區","13","323","9662","26377","13495","12882","105.12","臺南市"
"15","西港區","12","241","8155","24870","12601","12269","105.12","臺南市"
"16","七股區","23","312","8053","23172","11981","11191","105.12","臺南市"
"17","將軍區","18","304","7315","20051","10210","9841","105.12","臺南市"
"18","北門區","13","206","4279","11333","5754","5579","105.12","臺南市"
"19","新化區","20","253","14354","43727","22291","21436","105.12","臺南市"
"20","善化區","21","350","17254","47660","24016","23644","105.12","臺南市"
"21","新市區","11","262","12034","36268","18212","18056","105.12","臺南市"
"22","安定區","16","255","9979","30447","15634","14813","105.12","臺南市"
"23","山上區","7","84","2690","7359","3862","3497","105.12","臺南市"
"24","玉井區","10","175","5134","14281","7397","6884","105.12","臺南市"
"25","楠西區","7","123","3533","9898","5241","4657","105.12","臺南市"
"26","南化區","9","113","2872","8838","4779","4059","105.12","臺南市"
"27","左鎮區","10","110","1982","4980","2794","2186","105.12","臺南市"
"28","仁德區","18","491","27270","74637","37875","36762","105.12","臺南市"
"29","歸仁區","21","630","22518","68170","34658","33512","105.12","臺南市"
"30","關廟區","17","280","11064","34601","17846","16755","105.12","臺南市"
"31","龍崎區","8","95","1551","4107","2199","1908","105.12","臺南市"
"32","永康區","39","1268","82867","232210","114638","117572","105.12","臺南市"
"33","東區","45","1238","71835","187834","90167","97667","105.12","臺南市"
"34","南區","39","832","45345","125768","62396","63372","105.12","臺南市"
"35","北區","43","850","50561","133091","64838","68253","105.12","臺南市"
"36","安南區","51","943","62086","191196","96479","94717","105.12","臺南市"
"37","安平區","15","360","25179","65813","31264","34549","105.12","臺南市"
"38","中西區","38","745","30715","76967","37433","39807","105.12","臺南市"
"39","臺南市","752","14635","672325","1885541","943804","941737","104.12","臺南市"
"40","新營區","29","636","28669","78165","38706","39459","104.12","臺南市"
"41","鹽水區","25","324","10092","26085","13628","12457","104.12","臺南市"
"42","白河區","24","291","10924","29271","15323","13948","104.12","臺南市"
"43","柳營區","13","261","7841","21629","11295","10334","104.12","臺南市"
"44","後壁區","21","267","8907","24329","12638","11691","104.12","臺南市"
"45","東山區","16","310","8242","21603","11482","10121","104.12","臺南市"
"46","麻豆區","29","392","15584","44987","22844","22143","104.12","臺南市"
"47","下營區","15","271","9099","24786","12768","12018","104.12","臺南市"
"48","六甲區","12","231","7730","22586","11673","10913","104.12","臺南市"
"49","官田區","13","256","7854","21685","11096","10589","104.12","臺南市"
"50","大內區","10","145","3907","10054","5393","4661","104.12","臺南市"
"51","佳里區","21","409","20403","59555","29542","30013","104.12","臺南市"
"52","學甲區","13","323","9665","26652","13645","13007","104.12","臺南市"
"53","西港區","12","241","8115","24921","12617","12304","104.12","臺南市"
"54","七股區","23","312","8069","23365","12128","11237","104.12","臺南市"
"55","將軍區","18","304","7311","20309","10343","9966","104.12","臺南市"
"56","北門區","13","206","4319","11527","5823","5704","104.12","臺南市"
"57","新化區","20","253","14294","43828","22366","21462","104.12","臺南市"
"58","善化區","21","350","16803","46933","23695","23238","104.12","臺南市"
"59","新市區","11","262","11746","35853","18018","17835","104.12","臺南市"
"60","安定區","16","255","9876","30331","15560","14771","104.12","臺南市"
"61","山上區","7","84","2678","7437","3889","3548","104.12","臺南市"
"62","玉井區","10","175","5110","14388","7472","6916","104.12","臺南市"
"63","楠西區","7","123","3538","10032","5318","4714","104.12","臺南市"
