"","ym","status"
"1","100.1","OK"
"2","100.2","OK"
"3","100.3","OK"
"4","100.4","OK"
"5","100.5","OK"
"6","100.6","OK"
"7","100.7","OK"
"8","100.8","OK"
"9","100.9","OK"
"10","100.10","OK"
"11","100.11","OK"
"12","100.12","OK"
"13","101.1","OK"
"14","101.2","OK"
"15","101.3","OK"
"16","101.4","OK"
"17","101.5","OK"
"18","101.6","OK"
"19","101.7","OK"
"20","101.8","OK"
"21","101.9","OK"
"22","101.10","OK"
"23","101.11","OK"
"24","101.12","OK"
"25","102.1","OK"
"26","102.2","OK"
"27","102.3","OK"
"28","102.4","OK"
"29","102.5","OK"
"30","102.6","OK"
"31","102.7","OK"
"32","102.8","OK"
"33","102.9","OK"
"34","102.10","OK"
"35","102.11","OK"
"36","102.12","OK"
"37","103.1","OK"
"38","103.2","OK"
"39","103.3","OK"
"40","103.4","OK"
"41","103.5","OK"
"42","103.6","OK"
"43","103.7","OK"
"44","103.8","OK"
"45","103.9","OK"
"46","103.10","OK"
"47","103.11","OK"
"48","103.12","OK"
"49","104.1","OK"
"50","104.2","OK"
"51","104.3","OK"
"52","104.4","OK"
"53","104.5","OK"
"54","104.6","OK"
"55","104.7","OK"
"56","104.8","OK"
"57","104.9","OK"
"58","104.10","OK"
"59","104.11","OK"
"60","104.12","OK"
"61","105.1","OK"
"62","105.2","OK"
"63","105.3","OK"
"64","105.4","OK"
"65","105.5","OK"
"66","105.6","OK"
"67","105.7","OK"
"68","105.8","OK"
"69","105.9","OK"
"70","105.10","OK"
"71","105.11","OK"
"72","105.12","OK"
"73","106.1","OK"
"74","106.2","OK"
"75","106.3","OK"
"76","106.4","OK"
"77","106.5","OK"
"78","106.6","Fail"
"79","106.7","Fail"
"80","106.8","Fail"
"81","106.9","Fail"
"82","106.10","Fail"
"83","106.11","Fail"
"84","106.12","Fail"
