"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"1"," 嘉義市",110,1815,79716,266183,133793,132390,89.12,"嘉義市"
"2"," 東區",55,923,39792,130112,65330,64782,89.12,"嘉義市"
"3"," 西區",55,892,39924,136071,68463,67608,89.12,"嘉義市"
"4"," 嘉義市",110,1815,81262,267993,134621,133372,90.12,"嘉義市"
"5"," 東區",55,923,40513,130754,65627,65127,90.12,"嘉義市"
"6"," 西區",55,892,40749,137239,68994,68245,90.12,"嘉義市"
"7"," 嘉義市",110,1815,82444,267907,134289,133618,91.12,"嘉義市"
"8"," 東區",55,923,41177,131286,65695,65591,91.12,"嘉義市"
"9"," 西區",55,892,41267,136621,68594,68027,91.12,"嘉義市"
"10"," 嘉義市",110,1815,84429,269594,134909,134685,92.12,"嘉義市"
"11"," 東區",55,923,42235,132362,66043,66319,92.12,"嘉義市"
"12"," 西區",55,892,42194,137232,68866,68366,92.12,"嘉義市"
"13"," 嘉義市",110,1815,86261,270341,135027,135314,93.12,"嘉義市"
"14"," 東區",55,923,42845,132115,65702,66413,93.12,"嘉義市"
"15"," 西區",55,892,43416,138226,69325,68901,93.12,"嘉義市"
"16"," 嘉義市",110,1815,88011,271701,135252,136449,94.12,"嘉義市"
"17"," 東區",55,923,42271,128921,63769,65152,94.12,"嘉義市"
"18"," 西區",55,892,45740,142780,71483,71297,94.12,"嘉義市"
"19"," 嘉義市",108,1778,89385,272364,135083,137281,95.12,"嘉義市"
"20"," 東區",53,886,42707,128482,63193,65289,95.12,"嘉義市"
"21"," 西區",55,892,46678,143882,71890,71992,95.12,"嘉義市"
"22"," 嘉義市",108,1778,91065,273075,135112,137963,96.12,"嘉義市"
"23"," 東區",53,886,43381,128497,63028,65469,96.12,"嘉義市"
"24"," 西區",55,892,47684,144578,72084,72494,96.12,"嘉義市"
"25"," 嘉義市",108,1778,93138,273793,135283,138510,97.12,"嘉義市"
"26"," 東區",53,886,44096,128284,62851,65433,97.12,"嘉義市"
"27"," 西區",55,892,49042,145509,72432,73077,97.12,"嘉義市"
"28"," 嘉義市",108,1778,94513,273861,134980,138881,98.12,"嘉義市"
