"人口統計指標-月 依 期間, 鄉鎮市別 與 項目別"

" "," "," 土地面積(平方公里)"," 村里數"," 鄰數"," 現住戶數"," 現住人口數"," 現住人口數--男"," 現住人口數--女"," 遷入人數"," 遷出人數"," 社會增加率(0/00)"," 出生人數"," 死亡人數"," 自然增加率(0/00)"," 戶量(人／戶) "," 性比例(男／女)x 100"," 人口密度( 人／平方公里 )"," 0-14歲--人口數"," 0-14歲--占總人口比率(%)"," 15-64歲--人口數"," 15-64歲--占總人口比率(%)"," 65歲以上--人口數"," 65歲以上--占總人口比率(%)"
"2014M12"
" "," 嘉義縣",1903.6367,357,5347,181300,524783,273324,251459,1744,2349,-1.15,290,481,-0.36,2.89,108.70,275.67,59838,11.40,376550,71.75,88395,16.84
" "," 01太保市",66.8964,18,250,12158,37038,19077,17961,176,156,0.54,19,29,-0.27,3.05,106.21,553.66,5544,14.97,27088,73.14,4406,11.90
" "," 02朴子市",49.5737,27,414,15405,43250,21923,21327,199,189,0.23,42,20,0.51,2.81,102.79,872.44,6393,14.78,29827,68.96,7030,16.25
" "," 03布袋鎮",61.7307,23,375,10115,28423,14565,13858,74,112,-1.34,15,30,-0.53,2.81,105.10,460.44,2812,9.89,20477,72.04,5134,18.06
" "," 04大林鎮",64.1663,21,317,11389,32159,16479,15680,88,128,-1.24,18,24,-0.19,2.82,105.10,501.18,3673,11.42,22463,69.85,6023,18.73
" "," 05民雄鄉",85.4969,28,522,24041,71903,36837,35066,293,294,-0.01,39,53,-0.19,2.99,105.05,841.00,8978,12.49,53557,74.49,9368,13.03
" "," 06溪口鄉",33.0463,14,205,5435,15393,8224,7169,43,119,-4.92,7,18,-0.71,2.83,114.72,465.80,1453,9.44,10604,68.89,3336,21.67
" "," 07新港鄉",66.0495,23,380,10589,33186,17576,15610,87,155,-2.05,20,34,-0.42,3.13,112.59,502.44,4296,12.95,22748,68.55,6142,18.51
" "," 08六腳鄉",62.2619,25,328,9024,24613,13052,11561,58,113,-2.23,15,38,-0.93,2.73,112.90,395.31,2102,8.54,16685,67.79,5826,23.67
" "," 09東石鄉",81.5821,23,357,9439,26235,13921,12314,69,164,-3.61,11,26,-0.57,2.78,113.05,321.58,2649,10.10,18138,69.14,5448,20.77
" "," 10義竹鄉",79.2925,22,311,7550,19578,10177,9401,44,99,-2.80,9,21,-0.61,2.59,108.25,246.91,1667,8.51,13447,68.68,4464,22.80
" "," 11鹿草鄉",54.3151,15,255,5820,16384,8771,7613,40,76,-2.19,9,22,-0.79,2.82,115.21,301.65,1479,9.03,11161,68.12,3744,22.85
" "," 12水上鄉",69.1198,26,409,17834,50726,26176,24550,205,244,-0.77,22,46,-0.47,2.84,106.62,733.89,5031,9.92,38284,75.47,7411,14.61
" "," 13中埔鄉",129.5016,22,375,15945,46156,24039,22117,167,191,-0.52,23,31,-0.17,2.89,108.69,356.41,4949,10.72,34644,75.06,6563,14.22
" "," 14竹崎鄉",162.2256,24,407,11592,36924,19704,17220,104,127,-0.62,15,42,-0.73,3.19,114.43,227.61,3982,10.78,26784,72.54,6158,16.68
" "," 15梅山鄉",119.7571,18,200,6762,20304,10782,9522,38,69,-1.53,12,26,-0.69,3.00,113.23,169.54,2082,10.25,14209,69.98,4013,19.76
" "," 16番路鄉",117.5269,11,115,4304,12089,6537,5552,31,78,-3.88,7,11,-0.33,2.81,117.74,102.86,1306,10.80,8764,72.50,2019,16.70
" "," 17大埔鄉",173.2472,5,49,1943,4658,2427,2231,10,13,-0.64,6,1,1.07,2.40,108.79,26.89,593,12.73,3481,74.73,584,12.54
" "," 18阿里山鄉",427.8471,12,78,1955,5764,3057,2707,18,22,-0.69,1,9,-1.39,2.95,112.93,13.47,849,14.73,4189,72.68,726,12.60
"2015M01"
" "," 嘉義縣",1903.6367,357,5347,181352,524276,273069,251207,1444,1717,-0.52,255,489,-0.45,2.89,108.70,275.41,59508,11.35,376156,71.75,88612,16.90
" "," 01太保市",66.8964,18,250,12174,37055,19077,17978,147,125,0.59,22,27,-0.14,3.04,106.11,553.92,5524,14.91,27118,73.18,4413,11.91
" "," 02朴子市",49.5737,27,414,15403,43240,21919,21321,140,139,0.02,23,34,-0.25,2.81,102.80,872.24,6374,14.74,29795,68.91,7071,16.35
" "," 03布袋鎮",61.7307,23,375,10115,28367,14527,13840,54,99,-1.58,14,25,-0.39,2.80,104.96,459.53,2782,9.81,20430,72.02,5155,18.17
" "," 04大林鎮",64.1663,21,317,11380,32106,16458,15648,65,94,-0.90,12,36,-0.75,2.82,105.18,500.36,3640,11.34,22439,69.89,6027,18.77
" "," 05民雄鄉",85.4969,28,522,24070,71929,36837,35092,271,223,0.67,28,50,-0.31,2.99,104.97,841.31,8960,12.46,53566,74.47,9403,13.07
" "," 06溪口鄉",33.0463,14,205,5421,15333,8189,7144,20,76,-3.65,8,12,-0.26,2.83,114.63,463.99,1431,9.33,10561,68.88,3341,21.79
" "," 07新港鄉",66.0495,23,380,10588,33158,17553,15605,83,90,-0.21,21,42,-0.63,3.13,112.48,502.02,4295,12.95,22728,68.54,6135,18.50
" "," 08六腳鄉",62.2619,25,328,9020,24562,13037,11525,47,82,-1.42,11,27,-0.65,2.72,113.12,394.49,2086,8.49,16650,67.79,5826,23.72
" "," 09東石鄉",81.5821,23,357,9438,26184,13889,12295,56,96,-1.53,18,29,-0.42,2.77,112.96,320.95,2635,10.06,18083,69.06,5466,20.88
" "," 10義竹鄉",79.2925,22,311,7558,19556,10171,9385,40,48,-0.41,8,22,-0.72,2.59,108.38,246.63,1664,8.51,13424,68.64,4468,22.85
" "," 11鹿草鄉",54.3151,15,255,5812,16344,8755,7589,31,50,-1.16,1,22,-1.28,2.81,115.36,300.91,1456,8.91,11149,68.21,3739,22.88
" "," 12水上鄉",69.1198,26,409,17857,50699,26188,24511,190,181,0.18,27,63,-0.71,2.84,106.84,733.49,5028,9.92,38257,75.46,7414,14.62
" "," 13中埔鄉",129.5016,22,375,15953,46119,24019,22100,151,175,-0.52,27,40,-0.28,2.89,108.68,356.13,4907,10.64,34618,75.06,6594,14.30
" "," 14竹崎鄉",162.2256,24,407,11595,36870,19678,17192,61,97,-0.98,12,30,-0.49,3.18,114.46,227.28,3933,10.67,26765,72.59,6172,16.74
" "," 15梅山鄉",119.7571,18,200,6761,20279,10767,9512,31,51,-0.99,11,16,-0.25,3.00,113.19,169.33,2059,10.15,14186,69.95,4034,19.89
" "," 16番路鄉",117.5269,11,115,4306,12058,6522,5536,32,60,-2.32,4,7,-0.25,2.80,117.81,102.60,1294,10.73,8728,72.38,2036,16.89
" "," 17大埔鄉",173.2472,5,49,1946,4662,2428,2234,17,16,0.21,5,2,0.64,2.40,108.68,26.91,595,12.76,3481,74.67,586,12.57
" "," 18阿里山鄉",427.8471,12,78,1955,5755,3055,2700,8,15,-1.22,3,5,-0.35,2.94,113.15,13.45,845,14.68,4178,72.60,732,12.72
"2015M02"
" "," 嘉義縣",1903.6367,357,5347,181337,523835,272846,250989,1013,1253,-0.46,214,415,-0.38,2.89,108.71,275.18,59164,11.29,376013,71.78,88658,16.92
" "," 01太保市",66.8964,18,250,12188,37089,19090,17999,112,72,1.08,14,20,-0.16,3.04,106.06,554.42,5518,14.88,27153,73.21,4418,11.91
" "," 02朴子市",49.5737,27,414,15406,43220,21917,21303,111,116,-0.12,14,29,-0.35,2.81,102.88,871.83,6334,14.66,29812,68.98,7074,16.37
" "," 03布袋鎮",61.7307,23,375,10103,28312,14494,13818,36,74,-1.34,11,28,-0.60,2.80,104.89,458.64,2762,9.76,20400,72.05,5150,18.19
" "," 04大林鎮",64.1663,21,317,11380,32058,16426,15632,53,78,-0.78,9,32,-0.72,2.82,105.08,499.61,3600,11.23,22433,69.98,6025,18.79
" "," 05民雄鄉",85.4969,28,522,24095,71951,36841,35110,176,146,0.42,27,35,-0.11,2.99,104.93,841.56,8917,12.39,53614,74.51,9420,13.09
" "," 06溪口鄉",33.0463,14,205,5412,15302,8174,7128,25,44,-1.24,7,19,-0.78,2.83,114.67,463.05,1422,9.29,10549,68.94,3331,21.77
" "," 07新港鄉",66.0495,23,380,10583,33121,17537,15584,59,80,-0.63,10,26,-0.48,3.13,112.53,501.46,4261,12.86,22729,68.62,6131,18.51
" "," 08六腳鄉",62.2619,25,328,9014,24496,13007,11489,24,72,-1.96,5,23,-0.73,2.72,113.21,393.43,2066,8.43,16593,67.74,5837,23.83
" "," 09東石鄉",81.5821,23,357,9423,26143,13868,12275,31,60,-1.11,15,27,-0.46,2.77,112.98,320.45,2629,10.06,18056,69.07,5458,20.88
" "," 10義竹鄉",79.2925,22,311,7552,19517,10141,9376,20,41,-1.07,6,24,-0.92,2.58,108.16,246.14,1647,8.44,13403,68.67,4467,22.89
" "," 11鹿草鄉",54.3151,15,255,5809,16328,8749,7579,28,30,-0.12,8,22,-0.86,2.81,115.44,300.62,1447,8.86,11149,68.28,3732,22.86
" "," 12水上鄉",69.1198,26,409,17858,50673,26193,24480,116,133,-0.34,21,30,-0.18,2.84,107.00,733.12,5001,9.87,38242,75.47,7430,14.66
" "," 13中埔鄉",129.5016,22,375,15942,46062,23991,22071,83,130,-1.02,21,31,-0.22,2.89,108.70,355.69,4877,10.59,34583,75.08,6602,14.33
" "," 14竹崎鄉",162.2256,24,407,11608,36854,19672,17182,64,70,-0.16,22,32,-0.27,3.17,114.49,227.18,3911,10.61,26761,72.61,6182,16.77
