"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" 民國88年底"
" "," 合計"
" "," "," 合計",544038,37608,38352,37898,46998,47228,42751,44107,45408,41307,35703,24095,23484,23478,20762,16622,10006,5184,2332,607,96,12
" "," "," 男",284252,19508,20028,19588,24130,24462,22378,24009,24698,22220,19193,12386,11985,11886,10624,8722,4844,2318,1005,232,32,4
" "," "," 女",259786,18100,18324,18310,22868,22766,20373,20098,20710,19087,16510,11709,11499,11592,10138,7900,5162,2866,1327,375,64,8
" "," 南投市"
" "," "," 合計",104723,6666,8439,8763,9958,8896,7472,8182,8966,8367,7103,4433,3993,3812,3389,2921,1837,933,441,127,22,3
" "," "," 男",53477,3412,4476,4547,5129,4591,3814,4082,4426,4212,3652,2219,1920,1860,1735,1673,986,474,210,52,6,1
" "," "," 女",51246,3254,3963,4216,4829,4305,3658,4100,4540,4155,3451,2214,2073,1952,1654,1248,851,459,231,75,16,2
" "," 埔里鎮"
" "," "," 合計",87933,5930,6114,6145,7425,7687,6939,7123,7585,7038,6106,4058,3722,3561,3100,2692,1562,751,301,75,17,2
" "," "," 男",45324,3032,3168,3130,3841,3918,3548,3778,3986,3613,3122,2073,1879,1739,1628,1505,837,365,131,25,5,1
" "," "," 女",42609,2898,2946,3015,3584,3769,3391,3345,3599,3425,2984,1985,1843,1822,1472,1187,725,386,170,50,12,1
" "," 草屯鎮"
" "," "," 合計",97280,6693,7584,7287,9012,8629,7499,7927,8308,7608,6596,4265,3927,3836,3235,2380,1309,724,356,85,18,2
" "," "," 男",49736,3497,3946,3796,4568,4415,3777,4018,4282,3889,3508,2209,2024,1956,1651,1141,601,288,134,30,6,-
" "," "," 女",47544,3196,3638,3491,4444,4214,3722,3909,4026,3719,3088,2056,1903,1880,1584,1239,708,436,222,55,12,2
" "," 竹山鎮"
" "," "," 合計",61811,4057,3955,4258,5521,5871,5084,4800,4792,4325,4076,2939,2892,2884,2470,1831,1099,611,285,57,3,1
" "," "," 男",32240,2114,2098,2217,2837,3057,2709,2642,2649,2286,2124,1502,1503,1477,1253,920,476,239,113,22,2,-
" "," "," 女",29571,1943,1857,2041,2684,2814,2375,2158,2143,2039,1952,1437,1389,1407,1217,911,623,372,172,35,1,1
" "," 集集鎮"
" "," "," 合計",12335,948,763,604,843,926,1058,1041,1001,813,691,585,639,738,638,446,324,165,87,21,4,-
" "," "," 男",6577,480,389,308,434,510,522,629,596,506,390,305,321,378,345,222,149,53,31,7,2,-
" "," "," 女",5758,468,374,296,409,416,536,412,405,307,301,280,318,360,293,224,175,112,56,14,2,-
" "," 名間鄉"
" "," "," 合計",42768,3171,2852,2762,3426,3652,3594,3586,3425,3021,2672,1860,1981,2022,1815,1306,857,461,226,69,10,-
" "," "," 男",22625,1636,1467,1423,1790,1911,1897,1962,1978,1719,1463,928,1092,1087,924,661,360,208,90,25,4,-
" "," "," 女",20143,1535,1385,1339,1636,1741,1697,1624,1447,1302,1209,932,889,935,891,645,497,253,136,44,6,-
" "," 鹿谷鄉"
" "," "," 合計",21062,1433,1272,1235,1623,1831,1602,1642,1792,1561,1291,908,984,1096,1021,830,507,273,128,31,2,-
" "," "," 男",11210,745,642,639,837,941,856,955,1071,933,760,471,515,545,480,392,226,126,54,20,2,-
" "," "," 女",9852,688,630,596,786,890,746,687,721,628,531,437,469,551,541,438,281,147,74,11,-,-
" "," 中寮鄉"
" "," "," 合計",17925,1303,893,841,1225,1377,1438,1631,1469,1230,1018,849,969,1076,960,732,496,279,112,23,4,-
" "," "," 男",9857,724,480,412,630,697,771,1034,938,744,642,463,490,578,485,368,218,123,50,10,-,-
" "," "," 女",8068,579,413,429,595,680,667,597,531,486,376,386,479,498,475,364,278,156,62,13,4,-
" "," 魚池鄉"
" "," "," 合計",17910,1266,1037,859,1279,1503,1463,1420,1399,1288,1191,860,885,972,939,701,484,223,99,33,8,1
" "," "," 男",9732,690,542,466,655,781,794,846,843,765,684,480,471,502,487,324,243,99,47,10,3,-
" "," "," 女",8178,576,495,393,624,722,669,574,556,523,507,380,414,470,452,377,241,124,52,23,5,1
" "," 國姓鄉"
" "," "," 合計",24173,1866,1443,1314,1697,1886,2116,2185,1989,1710,1468,1111,1191,1294,1117,906,498,252,100,27,3,-
" "," "," 男",13249,989,769,680,846,999,1171,1373,1195,1053,852,572,610,670,583,486,229,119,42,11,-,-
" "," "," 女",10924,877,674,634,851,887,945,812,794,657,616,539,581,624,534,420,269,133,58,16,3,-
" "," 水里鄉"
" "," "," 合計",22996,1351,1367,1502,1913,1997,1808,1774,1750,1780,1564,988,1224,1163,1054,890,488,251,99,29,3,1
" "," "," 男",12149,695,699,756,986,1084,1015,1012,984,957,870,487,608,579,527,461,257,109,51,9,2,1
" "," "," 女",10847,656,668,746,927,913,793,762,766,823,694,501,616,584,527,429,231,142,48,20,1,-
" "," 信義鄉"
" "," "," 合計",17750,1535,1531,1425,1651,1525,1440,1482,1560,1347,963,602,591,552,548,473,290,157,52,23,2,1
" "," "," 男",9741,795,776,762,847,797,811,878,955,854,576,316,306,308,272,248,137,66,27,10,-,-
" "," "," 女",8009,740,755,663,804,728,629,604,605,493,387,286,285,244,276,225,153,91,25,13,2,1
" "," 仁愛鄉"
" "," "," 合計",15372,1389,1102,903,1425,1448,1238,1314,1372,1219,964,637,486,472,476,514,255,104,46,7,-,1
" "," "," 男",8335,699,576,452,730,761,693,800,795,689,550,361,246,207,254,321,125,49,25,1,-,1
" "," "," 女",7037,690,526,451,695,687,545,514,577,530,414,276,240,265,222,193,130,55,21,6,-,-
" 民國89年底"
" "," 合計"
" "," "," 合計",541537,36130,37507,37235,45393,47827,41319,43003,44889,41785,37160,26318,22012,23573,20834,17156,10727,5396,2460,700,98,15
" "," "," 男",282873,18744,19465,19395,23315,24760,21659,23326,24441,22554,19915,13694,11238,11897,10547,8898,5269,2386,1062,272,33,3
